Tanggal,Nama Gempa,Jumlah Gempa,Amplitudo Minimum,Amplitudo Maksimum,Durasi
06 Mei 2025,Hembusan,36,2.2,10.5,24 - 235
06 Mei 2025,Low Frequency,2,4.4,7.4,28 - 37
06 Mei 2025,Vulkanik Dalam,7,2.9,14.8,10 - 21
06 Mei 2025,Tektonik Lokal,2,5.9,22.2,18 - 29
06 Mei 2025,Tektonik Jauh,3,4.4,7.4,46 - 145
07 Mei 2025,Hembusan,22,2.2,14.8,24 - 221
07 Mei 2025,Low Frequency,1,,4.4,29
07 Mei 2025,Vulkanik Dalam,4,4.4,7.4,10 - 16
07 Mei 2025,Tektonik Lokal,3,5.9,29.6,20 - 26
07 Mei 2025,Tektonik Jauh,7,,,43 - 193
08 Mei 2025,Hembusan,11,2.2,5.9,30 - 147
08 Mei 2025,Low Frequency,2,2.9,4.4,20 - 23
08 Mei 2025,Vulkanik Dalam,8,2.9,7.4,9 - 16
08 Mei 2025,Tektonik Lokal,2,4.4,14.8,20 - 46
08 Mei 2025,Tektonik Jauh,4,2.9,29.6,39 - 79
