Tanggal,Nama Gempa,Jumlah,Amplitudo Min (mm),Amplitudo Max (mm),Durasi Min (detik),Durasi Max (detik)
01 Januari 2025,Hembusan,12,2.2,7.4,29.0,167.0
01 Januari 2025,Harmonik,3,1.48,2.9,78.0,807.0
01 Januari 2025,Low Frequency,2,4.4,7.4,34.0,58.0
01 Januari 2025,Vulkanik Dalam,5,2.9,7.4,10.0,14.0
01 Januari 2025,Tektonik Lokal,2,4.4,7.4,22.0,33.0
01 Januari 2025,Tektonik Jauh,9,2.2,44.0,47.0,148.0
02 Januari 2025,Hembusan,25,2.2,8.1,26.0,183.0
02 Januari 2025,Harmonik,2,2.9,5.9,58.0,82.0
02 Januari 2025,Vulkanik Dangkal,1,,3.7,,16.0
02 Januari 2025,Vulkanik Dalam,11,2.2,5.9,12.0,20.0
02 Januari 2025,Tektonik Lokal,1,,14.8,,35.0
02 Januari 2025,Tektonik Jauh,5,2.2,5.9,43.0,120.0
03 Januari 2025,Hembusan,35,2.9,8.8,20.0,224.0
03 Januari 2025,Harmonik,16,2.9,7.4,21.0,181.0
03 Januari 2025,Tektonik Lokal,2,2.9,17.7,27.0,32.0
03 Januari 2025,Tektonik Jauh,5,2.9,18.5,62.0,241.0
04 Januari 2025,Hembusan,14,2.9,7.4,50.0,257.0
04 Januari 2025,Harmonik,14,2.9,7.4,62.0,165.0
04 Januari 2025,Low Frequency,4,2.2,11.0,39.0,57.0
04 Januari 2025,Vulkanik Dalam,2,4.4,5.3,11.0,14.0
04 Januari 2025,Tektonik Lokal,1,,7.4,,23.0
04 Januari 2025,Tektonik Jauh,5,5.9,29.6,51.0,140.0
05 Januari 2025,Hembusan,18,2.9,10.5,28.0,257.0
05 Januari 2025,Harmonik,2,3.7,7.4,52.0,104.0
05 Januari 2025,Low Frequency,1,,5.3,,34.0
05 Januari 2025,Vulkanik Dangkal,3,14.8,44.4,8.0,10.0
05 Januari 2025,Vulkanik Dalam,6,2.9,10.5,9.0,16.0
05 Januari 2025,Tektonik Lokal,1,,2.9,,24.0
05 Januari 2025,Tektonik Jauh,9,5.3,47.3,40.0,229.0
06 Januari 2025,Hembusan,20,2.9,7.4,30.0,215.0
06 Januari 2025,Harmonik,27,2.2,7.4,32.0,281.0
06 Januari 2025,Vulkanik Dalam,15,2.9,20.7,8.0,14.0
06 Januari 2025,Tektonik Jauh,5,4.4,11.0,56.0,221.0
07 Januari 2025,Hembusan,11,2.2,7.4,21.0,141.0
07 Januari 2025,Harmonik,35,2.9,7.4,23.0,232.0
07 Januari 2025,Low Frequency,1,,5.3,,22.0
07 Januari 2025,Vulkanik Dalam,13,2.9,14.8,8.0,14.0
07 Januari 2025,Tektonik Lokal,2,2.9,10.5,20.0,30.0
07 Januari 2025,Tektonik Jauh,10,2.9,44.4,37.0,295.0
08 Januari 2025,Hembusan,40,2.2,10.5,24.0,234.0
08 Januari 2025,Harmonik,4,4.4,7.4,59.0,101.0
08 Januari 2025,Vulkanik Dangkal,4,10.5,22.2,8.0,15.0
08 Januari 2025,Vulkanik Dalam,7,2.9,7.4,8.0,17.0
08 Januari 2025,Tektonik Lokal,1,,2.9,,62.0
08 Januari 2025,Tektonik Jauh,6,2.2,22.2,74.0,227.0
09 Januari 2025,Hembusan,18,2.2,7.4,22.0,180.0
09 Januari 2025,Harmonik,26,2.2,7.4,72.0,402.0
09 Januari 2025,Low Frequency,1,,2.9,,54.0
09 Januari 2025,Vulkanik Dalam,6,2.2,19.2,9.0,20.0
09 Januari 2025,Tektonik Lokal,1,,8.8,,20.0
09 Januari 2025,Tektonik Jauh,6,2.2,22.0,55.0,278.0
10 Januari 2025,Hembusan,31,2.2,7.4,28.0,325.0
10 Januari 2025,Harmonik,5,3.7,7.4,31.0,265.0
10 Januari 2025,Vulkanik Dalam,1,,5.8,,19.0
10 Januari 2025,Tektonik Jauh,6,2.9,14.8,50.0,219.0
10 Januari 2025,Getaran Banjir,3,4.4,22.2,438.0,1691.0
11 Januari 2025,Hembusan,47,2.9,14.8,22.0,375.0
11 Januari 2025,Harmonik,5,2.9,7.4,20.0,123.0
11 Januari 2025,Low Frequency,1,,10.5,,53.0
11 Januari 2025,Vulkanik Dalam,5,2.9,47.3,8.0,18.0
11 Januari 2025,Tektonik Jauh,13,2.9,47.3,42.0,179.0
12 Januari 2025,Hembusan,20,2.9,7.4,23.0,552.0
12 Januari 2025,Harmonik,5,4.4,7.4,33.0,184.0
12 Januari 2025,Low Frequency,4,7.4,14.8,22.0,28.0
12 Januari 2025,Vulkanik Dalam,17,2.9,47.3,8.0,16.0
12 Januari 2025,Tektonik Lokal,1,,2.9,,26.0
12 Januari 2025,Tektonik Jauh,9,2.9,29.6,46.0,116.0
13 Januari 2025,Hembusan,28,2.9,10.5,36.0,302.0
13 Januari 2025,Harmonik,6,3.7,7.4,30.0,261.0
13 Januari 2025,Low Frequency,2,2.9,4.4,24.0,33.0
13 Januari 2025,Vulkanik Dalam,18,2.9,44.4,7.0,14.0
13 Januari 2025,Tektonik Lokal,2,7.4,22.2,20.0,23.0
13 Januari 2025,Tektonik Jauh,12,2.9,44.4,53.0,348.0
14 Januari 2025,Hembusan,23,2.9,14.8,23.0,160.0
14 Januari 2025,Harmonik,21,2.2,7.4,43.0,420.0
14 Januari 2025,Low Frequency,1,,4.4,,24.0
14 Januari 2025,Vulkanik Dalam,7,3.7,47.3,8.0,15.0
14 Januari 2025,Tektonik Jauh,4,4.4,7.4,46.0,123.0
15 Januari 2025,Hembusan,43,2.2,11.0,22.0,264.0
15 Januari 2025,Harmonik,11,2.9,14.8,22.0,150.0
15 Januari 2025,Low Frequency,1,,4.4,,37.0
15 Januari 2025,Vulkanik Dalam,10,4.4,44.4,8.0,15.0
15 Januari 2025,Tektonik Lokal,2,10.5,47.3,25.0,44.0
15 Januari 2025,Tektonik Jauh,4,4.4,22.0,70.0,216.0
16 Januari 2025,Hembusan,16,2.9,14.8,28.0,143.0
16 Januari 2025,Harmonik,6,4.4,14.8,104.0,162.0
16 Januari 2025,Vulkanik Dalam,2,37.0,47.3,7.0,15.0
16 Januari 2025,Tektonik Lokal,2,7.4,22.0,23.0,34.0
16 Januari 2025,Tektonik Jauh,6,2.9,44.0,96.0,316.0
17 Januari 2025,Hembusan,20,2.9,8.1,30.0,304.0
17 Januari 2025,Harmonik,12,2.9,7.4,45.0,252.0
17 Januari 2025,Low Frequency,4,3.7,4.4,22.0,46.0
17 Januari 2025,Vulkanik Dangkal,1,,4.4,,12.0
17 Januari 2025,Vulkanik Dalam,5,4.4,29.6,8.0,14.0
17 Januari 2025,Tektonik Lokal,8,9.6,47.3,24.0,43.0
17 Januari 2025,Tektonik Jauh,1,,7.4,,53.0
18 Januari 2025,Hembusan,23,3.7,10.5,27.0,246.0
18 Januari 2025,Harmonik,5,4.4,7.4,43.0,328.0
18 Januari 2025,Vulkanik Dalam,3,7.4,29.6,10.0,16.0
18 Januari 2025,Tektonik Lokal,4,4.4,44.4,23.0,31.0
18 Januari 2025,Tektonik Jauh,7,4.4,44.0,44.0,109.0
19 Januari 2025,Hembusan,49,2.9,29.6,24.0,192.0
19 Januari 2025,Harmonik,7,4.4,22.2,25.0,71.0
19 Januari 2025,Low Frequency,1,,4.4,,25.0
